"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"AMANS               ","Rue Charles Amans                                               ",1,99999,"I","Ecole Maternelle Louis FIGUIER                              "
"AMANS               ","Rue Charles Amans                                               ",2,99998,"P","Ecole Maternelle Louis FIGUIER                              "
"AMARANTES           ","Rue des Amarantes                                               ",1,99999,"I","Ecole Maternelle Simone SIGNORET                            "
"AMARANTES           ","Rue des Amarantes                                               ",2,99998,"P","Ecole Maternelle Simone SIGNORET                            "
"AMARYLLIS           ","Rue des Amaryllis                                               ",1,99999,"I","Ecole Maternelle GOETHE                                     "
"AMARYLLIS           ","Rue des Amaryllis                                               ",2,99998,"P","Ecole Maternelle GOETHE                                     "
"AMARYLLIS           ","Allée des Amaryllis                                             ",1,99999,"I","Ecole Maternelle GOETHE                                     "
"AMARYLLIS           ","Allée des Amaryllis                                             ",2,99998,"P","Ecole Maternelle GOETHE                                     "
"AMARYLLIS           ","Chemin des Amaryllis                                            ",1,99999,"I","Ecole Maternelle GOETHE                                     "
"AMARYLLIS           ","Chemin des Amaryllis                                            ",2,99998,"P","Ecole Maternelle GOETHE                                     "
"AMBRE               ","Rue de l'Ambre                                                  ",1,99999,"I","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"AMBRE               ","Rue de l'Ambre                                                  ",2,99998,"P","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"AMETHYSTE           ","Rue de l'Améthyste                                              ",1,99999,"I","Ecole Maternelle Anne FRANK                                 "
"AMETHYSTE           ","Rue de l'Améthyste                                              ",2,99998,"P","Ecole Maternelle Anne FRANK                                 "
"AMOREUX             ","Rue Amoreux                                                     ",1,99999,"I","Ecole Maternelle Pauline KERGOMARD                          "
"AMOREUX             ","Rue Amoreux                                                     ",2,99998,"P","Ecole Maternelle Pauline KERGOMARD                          "
"AMOURIERS           ","Rue des Amouriers                                               ",1,99999,"I","Ecole Maternelle Marie PAPE-CARPANTIER                      "
"AMOURIERS           ","Rue des Amouriers                                               ",2,99998,"P","Ecole Maternelle Marie PAPE-CARPANTIER                      "
"AMPERE              ","Rue André-Marie Ampère                                          ",1,99999,"I","Ecole Maternelle Jeanne DEROIN                              "
"AMPERE              ","Rue André-Marie Ampère                                          ",2,99998,"P","Ecole Maternelle Jeanne DEROIN                              "
"AMPURIAS            ","Rue d'Ampurias                                                  ",1,99999,"I","Ecole Maternelle Robert SURCOUF                             "
"AMPURIAS            ","Rue d'Ampurias                                                  ",2,99998,"P","Ecole Maternelle Robert SURCOUF                             "
"ANDERSEN            ","Passage Hans Christian Andersen                                 ",1,99999,"I","Ecole Maternelle Anne FRANK                                 "
