"IDENT","NOM","VLEGALE","REF","DDEBUT","DFIN","SENS","PHJM","PHJS","TJM","COMMENTAIR","MOIS","ANNEE","TYPECOMPTA","IDENTSIG"
"1897TR5679","Rue Rondelet",50,"960",38749,38755,"Rondelet-Michel",410,409,5157,"#N/A",2,2006,"Pneumatique",5679
"1884TR1823","Rue Robespierre",30,"1647",39822,39828,"Lavérune-Impasse",57,44,359,"#N/A",1,2009,"Pneumatique",1823
"1884TR1823","Rue Robespierre",30,"1648",39822,39828,"Impasse-Lavérune",50,55,385,"#N/A",1,2009,"Pneumatique",1823
"1884TR1840","Rue Robespierre",50,"662",37965,37971,"Impasse-Laverune",29,40,265,"#N/A",12,2003,"Pneumatique",1840
"1884TR1840","Rue Robespierre",50,"661",37965,37971,"Laverune-Impasse",46,52,318,"#N/A",12,2003,"Pneumatique",1840
"2963TR284","Rue René Grousset",50,"1864",40088,40094,"Maspero-Grousset",14,20,113,"#N/A",10,2009,"Pneumatique",284
"1842TR791","Rue Rambaud",50,"1277",39253,39259,"Desmazes-Toiras",82,69,567,"R.A.S",6,2007,"Pneumatique",791
"1842TR791","Rue Rambaud",30,"977",38784,38790,"Desmazes-Toiras",121,102,690,"#N/A",3,2006,"Pneumatique",791
"2543TR551","Rue Raimu",50,"326",36315,36321,"Bounin-Blier",31,29,259,"#N/A",6,1999,"Pneumatique",551
"2543TR551","Rue Raimu",50,"327",36315,36321,"Blier-Bounin",34,32,277,"#N/A",6,1999,"Pneumatique",551
"2543TR562","Rue Raimu",50,"15",35185,35191,"Trancavel-Bounin",39,35,258,"#N/A",4,1996,"Pneumatique",562
"2543TR562","Rue Raimu",50,"16",35185,35191,"Bounin-Trancavel",28,29,268,"#N/A",4,1996,"Pneumatique",562
"1823TR55","Rue Proudhon",50,"737",38163,38169,"Arts-81RI",462,491,4836,"#N/A",6,2004,"Pneumatique",55
"1815TR3932","Rue Professeur Léon Vallois",50,"375",36622,36628,"Pepiniere-Nimes",293,504,5246,"#N/A",4,2000,"Pneumatique",3932
"1815TR3932","Rue Professeur Léon Vallois",50,"186",35689,35695,"Rimbaud-Novembre",199,277,2448,"#N/A",9,1997,"Pneumatique",3932
"3230TR6762","Rue Professeur Henri Serre",50,"1445",39566,39572,"Tanneurs-Broussonnet",547,470,5457,"#N/A",4,2008,"Pneumatique",6762
