"REG","uu","dc","nomc","iris","nom","note","A","AH","AF","AHLt25","AFLt25","AH2549","AF2549","AHGe50","AFGe50","BE","XEH","XEF","BTc","BTp","BCsC","BCs4","BCs5","BCs6","BCs6Q","BCs6NQ","BTypeA","BDom2","BDom3","BDom4","BDom5","BDom6","BDom7","BDom8","BDom9","CA17AZ","CA17DE","CA17C1","CA17C2","CA17C3","CA17C4","CA17C5","CA17FZ","CA17GZ","CA17HZ","CA17IZ","CA17JZ","CA17KZ","CA17LZ","CA17MN","CA17OQ","CA17RU"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","Salariés","Hommes","Femmes","Hommes de moins de 25 ans","Femmes de moins de 25 ans","Hommes de 25 à moins de 50 ans","Femmes de 25 à moins de 50 ans","Hommes de 50 ans et +","Femmes de 50 ans et +","Etrangers","Hommes étrangers","Femmes étrangères","Temps complet","Temps partiel","CSP des salariés : Chefs d’entreprises et cadres","CSP des salariés : Professions intermédiaires","CSP des salariés : Employés","CSP des salariés : Ouvriers","CSP des salariés : Ouvriers qualifiés","CSP des salariés : Ouvriers non qualifiés","CSP des salariés : Apprentis","Domaine d'emploi : Collectivités territoriales","Domaine d'emploi : Établissements publics locaux","Domaine d'emploi : Établissements sanitaires et médico-sociaux","Domaine d'emploi : Établissements publics nationaux","Domaine d'emploi : EPIC","Domaine d'emploi : Associations","Domaine d'emploi : Entreprises individuelles et particuliers employeurs","Domaine d'emploi : Sociétés","Activité A17 : AZ-Agriculture, sylviculture, et pêche","Activité A17 : DE-Industries extractives,  énergie, eau, gestion des déchets et dépollution","Activité A17 : C1-Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac","Activité A17 : C2-Cokéfaction et raffinage","Activité A17 : C3-Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines","Activité A17 : C4-Fabrication de matériels de transport","Activité A17 : C5-Fabrication d'autres produits industriels","Activité A17 : FZ-Construction","Activité A17 : GZ-Commerce ; réparation d'automobiles et de motocycles","Activité A17 : HZ-Transports et entreposage","Activité A17 : IZ-Hébergement et restauration","Activité A17 : JZ-Information et communication","Activité A17 : KZ-Activités financières et d'assurance","Activité A17 : LZ-Activités immobilières","Activité A17 : MN-Activités scientifiques et techniques ; services administratifs et de soutien","Activité A17 : OQ-Administration publique, enseignement, santé humaine et action sociale","Activité A17 : RU-Autres activités de services"
"91","34701","34172","Montpellier","0803","ASTRUC",0,1025,504,521,99,97,322,317,83,107,154,97,57,661,362,164,228,372,219,115,104,12,72,28,71,39,18,163,71,563,1,11,6,0,8,1,17,51,106,23,89,28,22,15,226,322,99
"91","34701","34172","Montpellier","0901","LES GREZES",0,1192,638,554,118,104,381,325,139,125,176,109,67,813,374,194,292,373,277,156,121,31,85,25,74,40,33,170,64,701,5,23,10,0,8,0,25,88,132,44,82,34,40,14,259,351,77
"91","34701","34172","Montpellier","0902","BOUISSES",0,1906,915,991,144,158,581,602,190,231,224,141,83,1384,515,275,549,668,351,228,123,28,144,52,122,62,59,273,89,1105,0,43,12,0,31,2,45,91,264,87,102,70,54,28,391,593,93
"91","34701","34172","Montpellier","1001","LA COLLINE",0,1815,893,922,176,159,565,582,152,181,242,148,94,1231,583,207,420,705,401,250,151,31,99,42,105,46,58,282,99,1084,5,14,27,0,23,0,43,102,260,72,118,52,44,33,372,517,133
"91","34701","34172","Montpellier","1002","NOTRE DAME DE LA PAIX",0,785,422,363,75,67,251,222,96,74,117,85,32,515,270,109,187,261,194,109,85,14,45,21,39,15,17,123,54,471,4,9,8,1,6,1,17,40,92,24,70,36,16,7,172,231,51
"91","34701","34172","Montpellier","1101","ESTANOVE",0,777,391,386,56,69,264,234,71,83,80,51,29,558,219,163,192,262,128,73,55,15,29,16,58,22,18,101,51,482,4,8,7,0,10,2,23,43,111,18,59,42,37,18,151,207,37
"91","34701","34172","Montpellier","1102","LEPIC",0,1197,601,596,95,122,410,370,96,104,146,80,66,813,381,168,304,439,231,135,96,27,69,21,52,22,13,185,96,739,3,12,12,0,12,1,26,59,188,38,101,43,44,30,235,320,73
"91","34701","34172","Montpellier","1103","PARC MONTCALM",0,1028,513,515,92,94,338,311,83,110,127,76,51,748,274,135,265,380,212,143,69,15,68,14,49,21,24,130,67,655,1,13,10,0,11,2,23,53,150,46,80,39,36,24,216,257,67
"91","34701","34172","Montpellier","1201","SABATHE",0,1334,667,667,105,124,465,435,97,108,252,158,94,934,398,149,304,517,316,183,133,23,63,27,62,21,95,157,91,818,1,9,19,0,18,0,27,66,213,119,109,49,29,24,283,283,85
"91","34701","34172","Montpellier","1202","TASTAVIN",0,599,327,272,61,44,214,156,52,72,98,73,25,426,173,45,149,219,165,88,77,8,41,9,19,15,8,93,42,372,3,6,11,0,3,1,13,49,88,19,41,13,18,11,125,152,46
"91","34701","34172","Montpellier","1203","MAS DREVON-MAURIN",0,2230,1076,1154,175,188,696,717,205,249,315,178,137,1552,667,193,483,928,539,290,249,50,166,45,102,51,70,300,126,1370,4,26,29,0,21,3,44,119,351,133,154,65,57,28,468,612,116
"91","34701","34172","Montpellier","1301","CROIX D'ARGENT",0,2205,1095,1110,176,172,715,709,204,229,305,189,116,1538,660,194,470,908,524,324,200,29,176,40,108,43,55,318,150,1315,0,52,24,0,22,4,41,147,331,110,137,50,54,33,426,631,143
"91","34701","34172","Montpellier","1302","MARQUEROSE",0,1332,684,648,117,104,448,425,119,119,215,124,91,936,395,174,294,490,321,171,150,25,79,24,53,30,43,180,77,846,2,27,7,0,20,1,31,71,219,85,84,46,34,22,282,312,89
"91","34701","34172","Montpellier","1303","GAROSUD",0,451,285,166,46,29,183,103,56,34,61,46,15,352,99,51,113,133,137,102,35,9,19,4,14,8,12,36,25,333,0,14,2,0,5,1,22,43,117,22,17,15,12,8,79,66,28
"91","34701","34172","Montpellier","1401","BAGATELLE",0,2161,1086,1075,196,163,738,734,152,178,319,193,126,1527,627,189,441,872,565,323,242,40,180,58,116,39,50,253,149,1316,3,42,22,0,18,1,58,156,329,96,139,51,68,38,431,598,111
"91","34701","34172","Montpellier","1402","PAS DU LOUP",0,588,348,240,93,48,203,148,52,44,128,82,46,355,231,6,82,238,230,105,125,13,67,18,21,4,4,81,41,352,3,14,5,0,2,0,7,36,67,23,36,6,7,5,164,163,50
"91","34701","34172","Montpellier","1501","MION",0,1146,601,545,100,85,391,341,110,119,150,95,55,798,345,182,277,416,233,127,106,15,62,17,43,24,24,196,77,703,1,11,9,0,12,2,27,80,144,43,96,40,38,28,246,266,103
"91","34701","34172","Montpellier","1502","SAINT-MARTIN",0,1526,846,680,145,121,572,453,129,106,335,219,116,1044,475,109,277,552,528,296,232,23,64,29,55,18,18,186,111,1045,10,25,19,0,17,1,49,114,232,65,139,44,22,24,362,306,97
"91","34701","34172","Montpellier","1601","PONT TRINQUAT",0,1208,631,577,116,108,425,361,90,108,205,130,75,819,385,147,239,457,310,167,143,19,74,21,45,23,22,179,65,779,4,18,12,0,17,2,32,65,190,53,99,34,32,13,276,282,79
"91","34701","34172","Montpellier","1602","AIGUERELLES",0,1284,648,636,107,91,432,408,109,137,167,90,77,895,386,198,326,458,249,155,94,20,81,30,54,20,27,180,69,823,2,12,9,0,11,1,33,67,180,62,110,48,51,18,258,324,98
"91","34701","34172","Montpellier","1603","LA RAUZE",0,804,398,406,75,80,236,222,87,104,96,54,42,538,258,84,181,344,163,100,63,13,97,23,26,15,22,96,41,484,0,8,2,0,8,0,25,35,115,36,61,16,26,15,168,235,54
"91","34701","34172","Montpellier","1701","TOURNEZY",0,1669,899,770,151,125,612,511,136,134,238,137,101,1207,457,91,306,708,501,319,182,31,112,46,50,18,35,188,87,1133,3,29,19,0,14,2,30,137,344,111,118,39,34,14,311,370,94
"91","34701","34172","Montpellier","1802","PORT MARIANNE",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","1803","LA LIRONDE",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
