"CIRCULATIO,C,50","CODCOMM,C,6","DOMAINE,C,50","HIERARCHIE,C,50","ID_ARC,N,10,0","F_ID_NODE,N,10,0","LONGUEUR,N,19,8","NOTES,C,80","NUM_D_D,N,10,0","NUM_D_F,N,10,0","NUM_G_D,N,10,0","NUM_G_F,N,10,0","NUMERO,C,20","OCCUPATION,C,50","PERIMETRE,N,19,8","RIVOLI,C,4","SUF_D_D,C,3","SUF_D_F,C,3","SUF_G_D,C,3","SUF_G_F,C,3","SURFACE,N,19,8","SYMBOL,N,10,0","T_ID_NODE,N,10,0","TYPE,C,50","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","SHAPE_LEN,N,19,11","tarifs2011,C,50"
"DOUBLE SENS","340172","Publique",,6745,1887,"100,19999695",,0,0,0,0,"FILAIRE_6745",,0,"617",,,,,0,0,5149,,"N",,,"100,221756837",
"DOUBLE SENS","340172","Publique",,6769,2933,"123,19999695",,0,0,0,0,"FILAIRE_6769",,0,"687",,,,,0,0,5162,,"N",,,"123,277428571",
"DOUBLE SENS","340172","Publique",,6770,5162,"71,69999695",,0,0,0,0,"FILAIRE_6770",,0,"687",,,,,0,0,2940,,"N",,,"71,7173672343",
"DOUBLE SENS","340172","Privée",,6771,5162,"101,59999847",,0,0,0,0,"FILAIRE_6771",,0,"3365",,,,,0,0,5163,,"N",,,"101,604331172",
"DOUBLE SENS","340172","Privée",,6772,5163,"113,80000305",,0,0,0,0,"FILAIRE_6772",,0,"3365",,,,,0,0,5164,,"N",,,"113,839865877",
"DOUBLE SENS","340172","Privée",,6773,5165,"90,69999695",,0,0,0,0,"FILAIRE_6773",,0,"3364",,,,,0,0,5164,,"N",,,"90,7836324537",
"DOUBLE SENS","340172","Privée",,6774,5164,"109,09999847",,0,0,0,0,"FILAIRE_6774",,0,"3364",,,,,0,0,5166,,"N",,,"109,159663817",
"DOUBLE SENS","340172","Privée",,6775,5163,"53,09999847",,0,0,0,0,"FILAIRE_6775",,0,"3366",,,,,0,0,5167,,"N",,,"53,1145886636",
"DOUBLE SENS","340172","Publique",,6776,4293,"102,80000305",,0,0,0,0,"FILAIRE_6776",,0,"3370",,,,,0,0,5131,,"N",,,"102,817142548",
"DOUBLE SENS","340172","Publique",,18372,16077,"82,9",,0,0,0,0,,,0,"1511",,,,,0,0,1356,,"N",,,"82,917128076",
