"ID_ARC,N,10,0","VOI_NOM,C,80","ACC_OIMP,C,10","ACV_ILAR,N,19,8","ACC_OPAI,C,10","ACV_PLAR,N,19,8","ACC_1I2P,C,21","Shape_LEN,N,19,11","SHAPE_FID,N,9,0"
4981,"Place de la Chapelle Neuve",,0,,0,"_","21,2939878503",99
5026,"Rue d'Aigrefeuille",,0,,0,"_","37,39142451",100
5028,"Rue Fontanon",,0,,0,"_","21,1007894035",101
4859,"Rue de la Danse des Cordelles",,0,,0,"_","57,2630865646",102
4471,"Rue Pasteur Rochette",,0,,0,"_","187,168638618",103
4497,"Impasse des Luques",,0,,0,"_","206,996933628",104
5295,"Rue du Petit Saint Jean",,0,,0,"_","37,6179007984",105
5314,"Rue des Etuves",,0,,0,"_","57,0708501892",106
5315,"Rue de la Charrue",,0,,0,"_","52,4782797079",107
5319,"Rue Alexandre Cabanel",,0,,0,"_","12,1235840328",108
5320,"Impasse du Moulin d'Huile",,0,,0,"_","34,9175528519",109
5329,"Rue Poitevine",,0,,0,"_","36,6974128723",110
5331,"Rue de l'Huile",,0,,0,"_","31,3325416194",111
5337,"Rue Saint Firmin",,0,,0,"_","17,0709409527",112
