"ID","AREA,N,19,11","PERIMETER,N,19,11","BATIMENTS_,N,9,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,4,0","Shape_Leng,N,19,11","Shape_Area,N,19,11"
530,"2407,52731561","291,960638623",531,"Lycée Joffre","70009900","7","70099","00","BT",104,"292,074753265","2409,41859922"
531,"1432,0910816","216,62792314",532,"Lycée Joffre","70009700","7","00097","00","BT",104,"216,713025156","1433,21436836"
532,"1554,12163748","235,844637918",533,"Lycée Joffre","70009700","7","00097","00","BT",104,"235,937481107","1555,34158564"
533,"120,040106259","43,7421272986",534,"Hôtel de la Préfecture","70006200","7","00062","00","CI",0,"43,7591359949","120,133731522"
534,"14,9967750068","15,4460298514",535,"Hôtel de la Préfecture","70006200","7","00062","00","CI",0,"15,4520995433","15,0086523534"
535,"263,347759328","71,537299069",536,"Lycée Jules Guesde","70010000","7","00100","00","BT",104,"71,5654818761","263,554283815"
536,"285,18443108","84,2188223828",537,"Collège Joffre","70011500","7","00115","00","BT",104,"84,2519568188","285,407737223"
537,"3145,94863104","402,464779774",538,"Collège Joffre","70011500","7","00115","00","BT",104,"402,622939602","3148,4177389"
538,"418,429550023","91,4658089943",539,"Musée Fabre","00105800","0","01058","00","CI",0,"91,5017124244","418,759802325"
539,"2024,56182498","326,45425498",540,"Lycée Jules Guesde","70010300","7","00103","00","BT",104,"326,58257861","2026,15095914"
540,"351,592218605","131,197921763",541,"Musée Fabre","70021100","7","00211","00","BT",104,"131,24928995","351,867648243"
541,"134,232487529","46,8298158814",542,"Cave Coopérative","70005500","7","00055","00","CI",0,"46,8481897408","134,337852057"
542,"1485,86171523","193,375117184",543,"Cave Coopérative","99999999","0","00000","0","NP",170,"193,450395407","1487,02541583"
543,"134,311190631","46,7059879393",544,"Palais de Justice","70005500","7","00055","00","CI",0,"46,7243056095","134,416450482"
544,"92,9890624667","44,3342976103",545,"Lycée Joffre","70009700","7","00097","00","BT",104,"44,3515418731","93,0613542991"
545,"7,4667687438","11,0839243156",546,"Hôtel de la Préfecture","70006200","7","00062","00","CI",0,"11,0882032039","7,4725137333"
546,"208,583331214","65,9800660683",547,"Chateau de la Piscine","99999999",,,,"BC",109,"66,0060967051","208,746550815"
