"AREA_,N,19,8","PERIMETER,N,19,8","BATIMENTS_,N,10,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,5,0","ID,N,10,0","AREA,N,19,11","LEN,N,19,11"
"8222,2174064","576,01673994",261,Clinique du Millénaire,,,,,BT,104,0,"8228,76642","576,245466"
"5247,71890971","309,06215315",262,Cité Hyppocrate,,,,,BC,109,0,"5251,88974","309,184701"
"869,75472796","144,56373115",264,EAI,99999999,0,00000,0,BT,104,0,"870,4492","144,621866"
"187,57954694","70,55794983",265,Hôtel des Impôts Chaptal,70001900,7,00019,00,BT,104,0,"187,7282","70,585771"
"88,79737503","38,51540533",266,EAI,99999999,,,,BT,104,0,"88,86839","38,530842"
"1107,08590623","157,7025156",268,EAI,99999999,0,00000,0,BT,104,0,"1107,96895","157,764944"
"1472,1038059","162,60216739",269,Gymnase Emmanuel Gambardella,00231200,0,02312,00,BC,109,0,"1473,2762","162,6666"
"1306,88156883","210,53888705",270,EAI,99999999,0,00000,0,BT,104,0,"1307,92336","210,622869"
"173,80079996","59,09368219",271,S.E.R.M,,,,,BT,104,0,"372,18834","90,116673"
"1500,90705","187,0627035",272,EAI,99999999,0,00000,0,BT,104,0,"1502,10139","187,136656"
"2733,42900959","344,94581064",274,S.N.C.F Direction régionale,99999999,0,00000,0,BT,104,0,"2735,61077","345,082729"
"529,19865632","98,60998009",275,,99999999,,,,NP,170,0,"529,62124","98,649169"
"774,14563429","173,08530957",277,EAI,99999999,,,,BT,104,0,"774,76741","173,153714"
"230,13833132","80,40875711",278,Faculté Sc. Eco et Gestion,70012900,7,00129,00,BT,104,0,"230,32166","80,440604"
"52,47800309","54,45697288",280,Eglise Saint François,99999999,,,,CE,0,0,"52,52081","54,478655"
"884,28411572","133,07784467",281,EAI,99999999,0,00000,0,BT,104,0,"884,9878","133,130475"
"6939,09528785","472,26002087",283,Lycée Georges Clémenceau,70009500,7,00095,00,CI,0,0,"6944,63505","472,447325"
"241,16813444","88,45611515",284,EAI,99999999,,,,BT,104,0,"241,3605","88,491552"
"89,57603752","40,40117919",287,Maison de l'Agriculture,99999999,,,,CI,0,0,"89,64767","40,417162"
"147,46599057","51,44365451",288,Maison de l'Agriculture,99999999,,,,CI,0,0,"147,58414","51,46415"
"201,64920005","60,80702551",290,Faculté Sc. Eco et Gestion,70012900,7,00129,00,CI,0,0,"201,80931","60,831189"
"361,85695007","82,45548297",291,EAI,99999999,,,,BT,104,0,"362,14624","82,488264"
"769,63123758","121,41803565",292,EAI,99999999,0,00000,0,BT,104,0,"770,24682","121,466228"
"1212,11722494","145,68837482",293,Faculté Sc. Eco et Gestion,70012900,7,00129,00,BT,104,0,"1213,08283","145,746289"
"2255,43412543","286,49079346",295,EAI,99999999,0,00000,0,BT,104,0,"2257,24149","286,606442"
"61,50447814","31,9258835",296,Ecole élémentaire Sun Yat Sen,00048202,0,00482,02,BC,109,0,"61,5533","31,938581"
"584,18202517","138,23133695",297,Ecole élémentaire Dante Alighiéri,00048101,0,00481,01,BC,109,0,"584,64675","138,286686"
"116,79656248","47,28460893",298,Ecole élémentaire Sun Yat Sen,00048202,0,00482,02,BC,109,0,"116,88941","47,303507"
"1106,90228433","141,51184076",300,Hôtel de Police Nationale,70004100,7,00041,00,BT,104,0,"1107,78433","141,567907"
"685,50202823","143,43868639",301,Ecole élémentaire Paul Bert,00040502,0,00405,02,BC,109,0,"686,04834","143,496326"
"575,13285635","144,29228401",202,Centre Bourneville,99999999,0,00000,0,NP,170,0,"575,5924","144,349874"
"71,22450941","40,40978953",205,EAI,99999999,0,00000,0,BT,104,0,"71,28152","40,425757"
"148,14572185","71,4336123",209,Centre Observation et Psychotérapie,99999999,,,,NP,170,0,"148,26457","71,462101"
"2169,34601883","302,53155694",212,EAI,99999999,0,00000,0,BT,104,0,"2171,08257","302,652498"
"300,71880318","83,06848816",217,Centre Observation et Psychotérapie,99999999,0,00000,0,NP,170,0,"300,95945","83,101836"
"379,0257781","78,15515532",219,Groupe Médico Social Robert Lafont,99999999,,,,CI,0,0,"379,32811","78,186294"
"613,43191247","132,22316295",224,Centre Observation et Psychotérapie,99999999,0,00000,0,NP,170,0,"613,922","132,275626"
"1764,84365011","217,1052439",227,EAI,99999999,0,00000,0,BT,104,0,"1766,25616","217,192471"
"1064,69608744","185,84519841",230,M.P.T Marcel Pagnol,00056400,0,00564,00,BC,109,0,"1065,54867","185,919655"
"915,8172375","145,12437715",234,EAI,99999999,0,00000,0,BT,104,0,"916,54852","145,182716"
"216,54389381","62,80797404",237,Centre Observation et Psychotérapie,99999999,0,00000,0,NP,170,0,"216,71681","62,832963"
"347,20549075","98,82636231",241,EAI,99999999,0,00000,0,BT,104,0,"347,48404","98,866061"
"544,37951137","192,28665032",243,Eglise N.D. de la Paix,99999999,0,00000,0,BT,104,0,"544,81575","192,363701"
"351,90278432","144,68735948",246,Château de la Mogère,70008200,7,00082,00,NP,170,0,"352,18436","144,744629"
