"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"ANGELVIN            ","Impasse Angelvin                                                ",2,99998,"P","Ecole Elémentaire GAMBETTA                                  "
"ANGLADA             ","Rue du Professeur Joseph Anglada                                ",1,99999,"I","Ecole Elementaire  POTTIER /SIBELIUS                        "
"ANGLADA             ","Rue du Professeur Joseph Anglada                                ",2,99998,"P","Ecole Elementaire  POTTIER /SIBELIUS                        "
"ANJOU               ","Place Louis d'Anjou                                             ",1,99999,"I","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"ANJOU               ","Place Louis d'Anjou                                             ",2,99998,"P","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"ANNE                ","Rue Sainte Anne                                                 ",1,99999,"I","Ecole Elémentaire LAMARTINE                                 "
"ANNE                ","Rue Sainte Anne                                                 ",2,99998,"P","Ecole Elémentaire LAMARTINE                                 "
"ANOUBLES            ","Rue des Anoubles                                                ",1,99999,"I","Ecole Elémentaire DIDEROT                                   "
"ANOUBLES            ","Rue des Anoubles                                                ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"ANOUILH             ","Allée Jean Anouilh                                              ",1,99999,"I","Ecole Elémentaire DIDEROT                                   "
"ANOUILH             ","Allée Jean Anouilh                                              ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"ANQUETIL            ","Place Jacques Anquetil                                          ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"ANQUETIL            ","Place Jacques Anquetil                                          ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"ANTERRIEU           ","Rue Anterrieu                                                   ",8,99998,"P","Ecole Elémentaire Frédéric BAZILLE                          "
"ANTERRIEU           ","Rue Anterrieu                                                   ",11,99999,"I","Ecole Elémentaire Frédéric BAZILLE                          "
"ANTERRIEU           ","Rue Anterrieu                                                   ",1,9,"I","Ecole Elémentaire GAMBETTA                                  "
"ANTERRIEU           ","Rue Anterrieu                                                   ",2,6,"P","Ecole Elémentaire GAMBETTA                                  "
"ANTHEMIS            ","Rue des Anthémis                                                ",1,99999,"I","Ecole Elémentaire Paul BERT / V.HUGO                        "
"ANTHEMIS            ","Rue des Anthémis                                                ",2,99998,"P","Ecole Elémentaire Paul BERT / V.HUGO                        "
"ANTIGONE            ","Boulevard d'Antigone                                            ",2,99998,"P","Ecole Elémentaire PERICLES                                  "
"ANTIGONE            ","Boulevard d'Antigone                                            ",1,99999,"I","Ecole Elémentaire Jean MERMOZ                               "
"ANTOINE             ","Rue Saint Antoine                                               ",2,99998,"P","Ecole Elémentaire GAMBETTA                                  "
"ANTOINE             ","Rue Saint Antoine                                               ",1,99999,"I","Ecole Elémentaire GAMBETTA                                  "
"ANTOINE             ","Rue Etienne Antoine                                             ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
"ANTOINE             ","Rue Etienne Antoine                                             ",2,99998,"P","Ecole Elémentaire SEVIGNE                                   "
"ANTONELLI           ","Avenue du Professeur Etienne Antonelli                          ",1,99999,"I","Ecole Elémentaire Charles DICKENS                           "
"ANTONELLI           ","Avenue du Professeur Etienne Antonelli                          ",2,99998,"P","Ecole Elémentaire Charles DICKENS                           "
"ANTONIN ARTAUD      ","Rond-point Antonin Artaud                                       ",1,99999,"I","Ecole Elémentaire Simon BOLIVAR                             "
"ANTONIN ARTAUD      ","Rond-point Antonin Artaud                                       ",2,99998,"P","Ecole Elémentaire Simon BOLIVAR                             "
"APHRODITE           ","Passerelle Aphrodite                                            ",1,99999,"I","Ecole Elémentaire PERICLES                                  "
"APHRODITE           ","Passerelle Aphrodite                                            ",2,99998,"P","Ecole Elémentaire PERICLES                                  "
"APHYLLANTES         ","Rue des Aphyllantes                                             ",1,99999,"I","Ecole Elémentaire Charles DICKENS                           "
"APHYLLANTES         ","Rue des Aphyllantes                                             ",2,99998,"P","Ecole Elémentaire Charles DICKENS                           "
"APOLLINAIRE         ","Square Guillaume Apollinaire                                    ",1,99999,"I","Ecole Elémentaire Joseph DELTEIL                            "
"APOLLINAIRE         ","Square Guillaume Apollinaire                                    ",2,99998,"P","Ecole Elémentaire Joseph DELTEIL                            "
"APOTHICAIRES        ","Avenue des Apothicaires                                         ",2,99998,"P","Ecole Elémentaire CALMETTE (Docteur)                        "
"APOTHICAIRES        ","Avenue des Apothicaires                                         ",1,99999,"I","Ecole Elémentaire CALMETTE (Docteur)                        "
"APPEL DU 18 JUIN    ","Rond-point de l'Appel du 18 Juin                                ",1,99999,"I","Ecole Elémentaire François RABELAIS                         "
